iter	RMSE
0	34.48225656
1	34.27413242
2	34.09325814
3	33.93855957
4	33.82960881
5	33.72939014
6	33.65940333
7	33.58715075
8	33.52398553
9	33.47889201
10	33.4190137
11	33.3710775
12	33.33111712
13	33.29567958
14	33.27204206
15	33.24409446
16	33.22025977
17	33.19950144
18	33.18213956
19	33.16697866
20	33.15472027
21	33.14484318
22	33.13454603
23	33.12837598
24	33.12010491
25	33.11233413
26	33.10054942
27	33.09384348
28	33.07851611
29	33.0651724
30	33.05126267
31	33.04350171
32	33.03219063
33	33.02436525
34	33.01663413
35	33.0113127
36	33.00766039
37	33.00483625
38	33.00189981
39	32.99025402
40	32.98456196
41	32.98187698
42	32.97937757
43	32.97592117
44	32.97278916
45	32.96350089
46	32.95651004
47	32.9540924
48	32.95317286
49	32.9508645
50	32.94973421
51	32.94470916
52	32.9434563
53	32.93791833
54	32.93160576
55	32.93003569
56	32.92733825
57	32.92122374
58	32.92018563
59	32.916407
60	32.91313738
61	32.91147656
62	32.90999284
63	32.90877493
64	32.90424179
65	32.90306448
66	32.90174849
67	32.90040162
68	32.89871147
69	32.8982631
70	32.89756928
71	32.8951246
72	32.8935912
73	32.89020726
74	32.88574588
75	32.88164016
76	32.87642022
77	32.87534129
78	32.87448828
79	32.87368163
80	32.87155988
81	32.87107934
82	32.86734494
83	32.86659716
84	32.86519861
85	32.862759
86	32.86068086
87	32.85539654
88	32.8545472
89	32.85399941
90	32.85379775
91	32.85149265
92	32.85100943
93	32.84880241
94	32.84754979
95	32.84655438
96	32.84283113
97	32.84236196
98	32.84188969
99	32.84059259
