iter	Passed	Remaining
0	103	10246
1	105	5174
2	107	3482
3	109	2630
4	111	2118
5	113	1778
6	115	1532
7	117	1347
8	118	1202
9	120	1086
10	122	990
11	124	911
12	126	844
13	127	785
14	129	735
15	131	690
16	133	651
17	135	616
18	137	584
19	138	555
20	140	529
21	142	505
22	144	483
23	146	463
24	148	444
25	149	426
26	151	410
27	153	394
28	155	380
29	157	366
30	159	353
31	160	342
32	163	331
33	164	319
34	166	309
35	168	299
36	170	290
37	172	281
38	174	272
39	176	264
40	178	256
41	179	248
42	181	240
43	183	233
44	185	227
45	187	220
46	189	213
47	191	207
48	193	201
49	195	195
50	197	189
51	199	183
52	200	178
53	202	172
54	204	167
55	206	162
56	208	157
57	210	152
58	212	147
59	214	142
60	216	138
61	218	133
62	220	129
63	221	124
64	223	120
65	225	116
66	227	112
67	229	107
68	231	103
69	233	100
70	235	96
71	237	92
72	239	88
73	241	84
74	242	80
75	245	77
76	246	73
77	248	70
78	250	66
79	252	63
80	254	59
81	256	56
82	258	52
83	260	49
84	262	46
85	264	42
86	266	39
87	268	36
88	269	33
89	271	30
90	273	27
91	275	23
92	277	20
93	279	17
94	281	14
95	283	11
96	284	8
97	286	5
98	288	2
99	290	0
